package_name,num_dependencies,num_dev_dependencies,has_scripts,description_length,repository_exists,license_exists,num_js_files,package_name_length,has_bin,has_install_script,num_install_scripts,num_maintainers,many_maintainers_flag,num_contributors,maintainer_to_contributor_ratio,days_since_last_update,inactive_package_flag,label
bcryptutils@1.0.0,2,2,1,0,0,1,0,11,0,0,0,1,0,0,1.0,0,0,1
bcryptutils@1.0.6,7,2,1,0,0,1,0,11,0,0,0,1,0,0,1.0,0,0,1
bcryptutils@1.0.2,7,2,1,0,0,1,1,11,0,0,0,1,0,0,1.0,0,0,1
bcryptutils@1.0.9,7,1,1,0,0,1,1,11,0,0,0,1,0,0,1.0,0,0,1
badgekit-api-client@9.9.0,1,1,1,3,0,1,1,19,0,0,0,1,0,0,1.0,0,0,1
redirect-gzkgcn@1.0.0,0,0,0,0,0,0,2,15,0,0,0,1,0,0,1.0,0,0,1
@plentific/dashboard@172.0.0,0,0,1,100,0,1,7,20,0,1,2,1,0,0,1.0,0,0,1
iife-sample@1.0.0,0,0,1,0,0,1,0,11,0,0,0,1,0,0,1.0,0,0,1
hr1pq1wq123@2.0.0,0,0,1,0,0,1,3,11,0,1,1,1,0,0,1.0,0,0,1
eslint-plugin-paste-internal@9.9.10,0,0,1,0,0,1,0,28,0,1,1,1,0,0,1.0,0,0,1
testedt@1.0.0,0,0,1,0,0,1,0,7,0,0,0,1,0,0,1.0,0,0,1
spl-token-v2@7.0.0,0,0,1,0,0,1,1,12,0,1,1,1,0,0,1.0,0,0,1
vscode-websearchforcopilot@2.0.0,0,0,1,15,0,1,0,26,0,1,1,1,0,0,1.0,0,0,1
hrpqvq123111@1.0.0,0,0,1,0,0,1,3,12,0,1,1,1,0,0,1.0,0,0,1
tailwind-morph@1.5.8,12,14,1,14,1,1,9,14,0,0,0,1,0,0,1.0,0,0,1
asdfgh3@0.30.9,1,0,1,7,0,1,2,7,0,1,1,1,0,0,1.0,0,0,1
asdfgh3@0.30.7,0,0,1,7,0,1,2,7,0,1,1,1,0,0,1.0,0,0,1
accounts-base@1.0.0,0,0,1,0,0,1,1,13,0,0,0,1,0,0,1.0,0,0,1
accounts-base@23.5.2,0,0,1,0,0,1,1,13,0,1,1,1,0,0,1.0,0,0,1
ppcardmanagementv2serv@19.0.2,0,0,1,22,0,1,1,22,0,1,1,1,0,0,1.0,0,0,1
